('Delta Air Lines', '2020-09-11T10:57', '2020-09-12T02:04', '907', '7183', '500', 'DL 144', 'E-170', '240', '6', '13'), 
('Air Canada', '2020-05-24T09:20', '2020-05-25T17:45', '1945', '9410', '300', 'AC 308', 'Boeing 777', '351', '23', '12'), 
('Lufthansa', '2020-10-27T05:00', '2020-10-28T07:20', '1580', '5981', '300', 'LH 1600', 'E-190', '154', '23', '19'), 
('British Airways', '2020-01-26T19:50', '2020-01-26T22:49', '179', '5052', '200', 'BA 161', 'E-175', '153', '24', '15'), 
('Air Canada', '2020-01-26T09:44', '2020-01-27T09:55', '1451', '4594', '200', 'AC 726', 'CRJ900', '582', '25', '19'), 
('WOW Air', '2020-06-14T13:53', '2020-06-15T11:41', '1308', '6711', '1000', 'WA 751', 'Boeing 737', '561', '7', '5'), 
('British Airways', '2020-03-30T04:59', '2020-03-30T09:21', '262', '2539', '1000', 'BA 1882', 'CRJ705', '280', '17', '23'), 
('American Airlines', '2020-03-09T08:34', '2020-03-09T16:25', '471', '6165', '300', 'AA 1582', 'A220', '446', '8', '25'), 
('Finnair', '2020-12-25T14:47', '2020-12-26T08:04', '1037', '4902', '500', 'FA 1328', 'SR-71 Blackbird', '107', '20', '16'), 
('WOW Air', '2020-09-10T19:31', '2020-09-10T22:43', '192', '1611', '300', 'WA 368', 'E-170', '477', '7', '13'), 
('American Airlines', '2020-12-14T15:36', '2020-12-15T09:49', '1093', '8313', '300', 'AA 639', 'Boeing 777', '156', '23', '29'), 
('Alaska Airlines', '2020-10-21T18:13', '2020-10-21T21:32', '199', '7274', '300', 'AS 1663', 'CRJ1000', '270', '24', '23'), 
('American Airlines', '2020-12-23T18:59', '2020-12-24T12:19', '1040', '4740', '500', 'AA 1119', 'E-195', '501', '18', '20'), 
('Frontier Airlines', '2020-03-14T20:22', '2020-03-15T16:33', '1211', '4801', '300', 'F9 817', 'SR-71 Blackbird', '225', '8', '29'), 
('British Airways', '2020-10-23T15:49', '2020-10-24T20:25', '1716', '5912', '500', 'BA 419', 'Boeing 747', '582', '2', '21'), 
('SAS', '2020-10-24T07:52', '2020-10-24T12:38', '286', '8593', '1000', 'SA 805', 'A318', '250', '3', '7'), 
('Delta Air Lines', '2020-05-07T21:27', '2020-05-07T23:07', '100', '6424', '300', 'DL 1893', 'A220', '221', '26', '3'), 
('Norwegian', '2020-06-25T23:26', '2020-06-26T21:34', '1328', '4958', '200', 'NW 1250', 'A318', '407', '22', '4'), 
('British Airways', '2020-10-28T11:09', '2020-10-29T08:13', '1264', '3098', '200', 'BA 346', 'A318', '515', '23', '12'), 
('British Airways', '2020-06-02T14:27', '2020-06-02T20:36', '369', '4521', '1000', 'BA 1906', 'Boeing 777', '503', '9', '11'), 
('SAS', '2020-06-18T07:45', '2020-06-19T18:46', '2101', '4518', '500', 'SA 1991', 'A350', '535', '24', '26'), 
('SAS', '2020-09-16T01:11', '2020-09-16T14:04', '773', '5324', '200', 'SA 1293', 'CRJ705', '214', '24', '20'), 
('Norwegian', '2020-11-16T11:13', '2020-11-17T08:13', '1260', '8753', '200', 'NW 219', 'A340', '60', '11', '29'), 
('WOW Air', '2020-07-21T08:31', '2020-07-22T01:08', '997', '8473', '1000', 'WA 425', 'A321', '232', '0', '4'), 
('JetBlue Airways', '2020-02-07T11:41', '2020-02-07T17:23', '342', '8385', '300', 'B6 1338', 'A300', '97', '19', '28'), 
('British Airways', '2020-08-15T12:21', '2020-08-15T19:29', '428', '3327', '500', 'BA 1000', 'A318', '204', '16', '26'), 
('Alaska Airlines', '2020-06-01T09:52', '2020-06-01T20:46', '654', '1977', '500', 'AS 1331', 'A380', '515', '16', '19'), 
('British Airways', '2020-05-17T04:45', '2020-05-17T10:10', '325', '8196', '500', 'BA 1858', 'A340', '126', '26', '20'), 
('SAS', '2020-05-13T01:11', '2020-05-14T15:06', '2275', '5382', '500', 'SA 461', 'A310', '199', '12', '27'), 
('Frontier Airlines', '2020-09-16T04:20', '2020-09-17T17:10', '2210', '6740', '500', 'F9 667', 'Boeing 737', '538', '26', '2'), 
('American Airlines', '2020-05-13T04:18', '2020-05-14T16:45', '2187', '3452', '500', 'AA 276', 'E-170', '369', '27', '3'), 
('Lufthansa', '2020-05-29T17:16', '2020-05-29T23:50', '394', '4527', '300', 'LH 1831', 'A330', '567', '25', '21'), 
('SAS', '2020-08-29T03:41', '2020-08-30T10:32', '1851', '9088', '300', 'SA 1910', 'A310', '481', '26', '13'), 
('SAS', '2020-10-21T07:36', '2020-10-21T21:32', '836', '8025', '300', 'SA 401', 'CRJ700', '118', '1', '4'), 
('Air Canada', '2020-06-27T23:31', '2020-06-27T23:33', '2', '3994', '500', 'AC 995', 'Boeing 737', '489', '11', '6'), 
('Alaska Airlines', '2020-02-25T07:46', '2020-02-26T23:32', '2386', '2905', '500', 'AS 1946', 'Boeing 787', '432', '4', '26'), 
('WOW Air', '2020-10-11T07:12', '2020-10-12T14:16', '1864', '4003', '1000', 'WA 1921', 'A350', '468', '7', '28'), 
('Frontier Airlines', '2020-10-13T13:39', '2020-10-13T16:50', '191', '635', '1000', 'F9 960', 'A320', '161', '5', '18'), 
('SAS', '2020-05-24T09:18', '2020-05-24T16:41', '443', '8949', '200', 'SA 1204', 'A318', '392', '18', '16'), 
('Finnair', '2020-10-14T03:42', '2020-10-14T16:13', '751', '7471', '500', 'FA 1437', 'E-190', '443', '2', '5'), 
('Air Canada', '2020-06-04T10:21', '2020-06-05T21:10', '2089', '3560', '200', 'AC 1663', 'SR-71 Blackbird', '180', '20', '22'), 
('Alaska Airlines', '2020-04-18T14:50', '2020-04-18T16:28', '98', '8626', '500', 'AS 1604', 'A319', '558', '12', '27'), 
('Lufthansa', '2020-05-12T16:26', '2020-05-12T22:57', '391', '8791', '1000', 'LH 1791', 'E-175', '263', '19', '18'), 
('Delta Air Lines', '2020-05-10T05:19', '2020-05-10T23:09', '1070', '9527', '500', 'DL 885', 'CRJ700', '254', '23', '21'), 
('SAS', '2020-10-16T05:02', '2020-10-16T21:01', '959', '6600', '300', 'SA 1881', 'CRJ705', '257', '0', '11'), 
('SAS', '2020-09-02T08:31', '2020-09-02T13:53', '322', '8865', '300', 'SA 1833', 'CRJ700', '168', '18', '14'), 
('Alaska Airlines', '2020-10-17T06:08', '2020-10-17T12:26', '378', '8385', '200', 'AS 1921', 'Millennium Falcon', '247', '22', '16'), 
('Frontier Airlines', '2020-07-06T18:16', '2020-07-06T21:45', '209', '6447', '500', 'F9 1052', 'A340', '184', '22', '21'), 
('British Airways', '2020-11-30T19:09', '2020-11-31T08:11', '782', '5613', '1000', 'BA 578', 'A330', '508', '3', '1'), 
('Lufthansa', '2020-10-12T11:51', '2020-10-12T22:51', '660', '5415', '500', 'LH 729', 'A340', '548', '6', '16'), 
('Frontier Airlines', '2020-06-08T09:28', '2020-06-08T17:55', '507', '5537', '300', 'F9 1884', 'A318', '229', '9', '8'), 
('Norwegian', '2020-04-15T03:17', '2020-04-16T05:28', '1571', '4826', '1000', 'NW 1178', 'A380', '308', '17', '4'), 
('Norwegian', '2020-08-05T16:13', '2020-08-06T11:10', '1137', '9099', '300', 'NW 1667', 'A321', '245', '9', '4'), 
('Air Canada', '2020-04-26T14:41', '2020-04-27T15:43', '1502', '9741', '1000', 'AC 457', 'A318', '221', '22', '5'), 
('Alaska Airlines', '2020-03-18T06:19', '2020-03-18T12:36', '377', '2185', '1000', 'AS 1751', 'A318', '261', '18', '26'), 
('WOW Air', '2020-04-12T16:51', '2020-04-12T22:39', '348', '7035', '1000', 'WA 531', 'A320', '548', '21', '11'), 
('Alaska Airlines', '2020-12-26T08:31', '2020-12-27T21:25', '2214', '4405', '200', 'AS 534', 'E-195', '50', '8', '19'), 
('Finnair', '2020-11-13T14:34', '2020-11-14T17:38', '1624', '3296', '500', 'FA 1599', 'A330', '255', '7', '15'), 
('SAS', '2020-11-07T19:25', '2020-11-07T22:58', '213', '4509', '1000', 'SA 1967', 'A330', '297', '19', '17'), 
('SAS', '2020-04-13T01:37', '2020-04-13T17:35', '958', '6918', '500', 'SA 1451', 'A330', '362', '15', '2'), 
('British Airways', '2020-02-26T21:59', '2020-02-26T23:46', '107', '1775', '200', 'BA 834', 'A380', '371', '6', '20'), 
('Alaska Airlines', '2020-07-08T08:58', '2020-07-08T17:26', '508', '2440', '1000', 'AS 1156', 'A320', '55', '21', '15'), 
('Frontier Airlines', '2020-09-02T20:45', '2020-09-02T22:23', '98', '1002', '300', 'F9 180', 'A310', '418', '28', '20'), 
('Frontier Airlines', '2020-08-18T04:58', '2020-08-18T18:46', '828', '3325', '300', 'F9 789', 'A330', '419', '23', '8'), 
('Delta Air Lines', '2020-02-18T00:21', '2020-02-19T05:41', '1760', '5112', '1000', 'DL 1520', 'A340', '415', '8', '5'), 
('SAS', '2020-07-25T13:10', '2020-07-26T05:08', '958', '7147', '500', 'SA 1747', 'A318', '562', '5', '29'), 
('Delta Air Lines', '2020-09-17T13:17', '2020-09-17T18:52', '335', '710', '1000', 'DL 343', 'Boeing 737', '260', '17', '24'), 
('British Airways', '2020-04-10T18:02', '2020-04-10T22:36', '274', '7828', '300', 'BA 121', 'A310', '434', '24', '19'), 
('Finnair', '2020-06-17T17:41', '2020-06-17T20:20', '159', '8771', '300', 'FA 178', 'E-195', '116', '12', '18'), 
('Norwegian', '2020-02-14T13:41', '2020-02-14T21:49', '488', '8904', '500', 'NW 131', 'A319', '496', '27', '4'), 
('WOW Air', '2020-07-05T17:02', '2020-07-05T20:37', '215', '3634', '500', 'WA 303', 'A330', '219', '28', '22'), 
('JetBlue Airways', '2020-09-05T14:30', '2020-09-06T17:11', '1601', '4274', '200', 'B6 1034', 'A320', '424', '23', '12'), 
('Alaska Airlines', '2020-08-15T01:56', '2020-08-15T12:31', '635', '4524', '300', 'AS 1223', 'Boeing 767', '371', '4', '5'), 
('Delta Air Lines', '2020-05-19T22:03', '2020-05-19T23:38', '95', '7573', '1000', 'DL 689', 'A318', '199', '7', '15'), 
('Alaska Airlines', '2020-05-12T16:23', '2020-05-13T22:13', '1790', '7915', '300', 'AS 903', 'Boeing 747', '418', '2', '10'), 
('Air Canada', '2020-06-17T04:00', '2020-06-17T06:57', '177', '2467', '200', 'AC 1605', 'A318', '185', '7', '28'), 
('Alaska Airlines', '2020-08-06T07:42', '2020-08-07T18:17', '2075', '2477', '500', 'AS 129', 'CRJ900', '139', '19', '28'), 
('Norwegian', '2020-05-23T10:43', '2020-05-23T15:10', '267', '4603', '300', 'NW 1449', 'E-195', '138', '6', '23'), 
('Air Canada', '2020-10-20T17:06', '2020-10-20T23:43', '397', '799', '1000', 'AC 1010', 'E-175', '219', '25', '23'), 
('Norwegian', '2020-05-10T00:33', '2020-05-11T02:07', '1534', '6380', '200', 'NW 1676', 'E-170', '566', '20', '9'), 
('Finnair', '2020-01-16T04:35', '2020-01-17T18:14', '2259', '2611', '1000', 'FA 1039', 'Millennium Falcon', '74', '14', '12'), 
('Air Canada', '2020-04-23T03:19', '2020-04-23T08:23', '304', '8456', '1000', 'AC 1201', 'A300', '123', '11', '17'), 
('Norwegian', '2020-09-28T09:27', '2020-09-29T08:57', '1410', '9189', '300', 'NW 1640', 'A300', '165', '27', '15'), 
('Delta Air Lines', '2020-05-02T11:19', '2020-05-03T08:36', '1277', '3230', '300', 'DL 873', 'A300', '95', '13', '23'), 
('British Airways', '2020-10-04T06:57', '2020-10-04T13:10', '373', '4314', '500', 'BA 643', 'A330', '268', '7', '4'), 
('Finnair', '2020-03-08T10:06', '2020-03-09T06:20', '1214', '1292', '1000', 'FA 378', 'E-195', '75', '29', '10'), 
('Air Canada', '2020-02-29T20:04', '2020-02-29T22:26', '142', '7891', '1000', 'AC 285', 'E-195', '415', '28', '2'), 
('British Airways', '2020-10-22T11:59', '2020-10-22T19:01', '422', '679', '500', 'BA 1946', 'A320', '90', '16', '24'), 
('American Airlines', '2020-03-06T02:24', '2020-03-06T14:44', '740', '2939', '1000', 'AA 752', 'E-190', '572', '9', '19'), 
('SAS', '2020-06-27T03:37', '2020-06-28T21:20', '2503', '9155', '300', 'SA 1728', 'A380', '374', '17', '28'), 
('Norwegian', '2020-04-13T02:30', '2020-04-14T07:33', '1743', '6582', '500', 'NW 1184', 'Boeing 737', '323', '14', '24'), 
('Lufthansa', '2020-09-11T21:21', '2020-09-11T23:08', '107', '4655', '500', 'LH 1462', 'A318', '552', '28', '26'), 
('Norwegian', '2020-12-08T11:27', '2020-12-08T22:13', '646', '5599', '1000', 'NW 382', 'A220', '480', '11', '4'), 
('Air Canada', '2020-02-06T21:39', '2020-02-06T23:04', '85', '3152', '200', 'AC 1662', 'E-170', '209', '4', '18'), 
('JetBlue Airways', '2020-04-17T02:20', '2020-04-18T02:19', '1439', '5117', '500', 'B6 1204', 'SR-71 Blackbird', '252', '19', '9'), 
('Air Canada', '2020-04-24T19:43', '2020-04-24T23:11', '208', '5560', '300', 'AC 1717', 'Boeing 777', '338', '4', '8'), 
('Lufthansa', '2020-09-08T17:50', '2020-09-08T22:02', '252', '2067', '200', 'LH 1056', 'A220', '378', '18', '15'), 
('Finnair', '2020-04-02T09:58', '2020-04-02T15:33', '335', '8592', '500', 'FA 334', 'SR-71 Blackbird', '547', '19', '3'), 
('Frontier Airlines', '2020-12-06T18:45', '2020-12-06T20:09', '84', '953', '300', 'F9 137', 'Boeing 747', '566', '13', '25'), 
('Air Canada', '2020-02-23T12:05', '2020-02-24T19:25', '1880', '4474', '200', 'AC 453', 'A380', '396', '23', '2'), 
('Alaska Airlines', '2020-02-20T09:47', '2020-02-21T15:16', '1769', '1237', '1000', 'AS 1176', 'A350', '320', '17', '27'), 
('Delta Air Lines', '2020-06-07T22:02', '2020-06-07T23:16', '74', '2556', '300', 'DL 1084', 'A319', '326', '19', '9'), 
('Alaska Airlines', '2020-09-04T13:15', '2020-09-05T14:26', '1511', '2275', '300', 'AS 1643', 'SR-71 Blackbird', '479', '11', '9'), 
('Lufthansa', '2020-12-17T10:53', '2020-12-18T22:25', '2132', '2324', '300', 'LH 678', 'E-170', '464', '27', '10'), 
('Norwegian', '2020-07-15T15:10', '2020-07-15T22:51', '461', '541', '500', 'NW 1925', 'CRJ900', '504', '8', '9'), 
('Air Canada', '2020-06-29T10:22', '2020-06-29T18:24', '482', '9058', '500', 'AC 544', 'A300', '189', '11', '6'), 
('Lufthansa', '2020-07-22T12:55', '2020-07-22T18:09', '314', '6323', '300', 'LH 105', 'CRJ700', '330', '4', '14'), 
('SAS', '2020-04-02T10:39', '2020-04-03T01:08', '869', '3526', '300', 'SA 931', 'E-175', '336', '8', '11'), 
('British Airways', '2020-09-01T00:43', '2020-09-02T16:02', '2359', '2463', '1000', 'BA 1393', 'A220', '419', '22', '2'), 
('JetBlue Airways', '2020-07-23T08:56', '2020-07-23T14:33', '337', '7819', '1000', 'B6 1104', 'E-170', '588', '20', '14'), 
('SAS', '2020-11-18T14:18', '2020-11-19T09:29', '1151', '8841', '500', 'SA 1397', 'Boeing 737', '357', '23', '9'), 
('Frontier Airlines', '2020-03-25T08:13', '2020-03-25T17:21', '548', '3546', '500', 'F9 898', 'SR-71 Blackbird', '556', '16', '23'), 
('SAS', '2020-02-22T03:34', '2020-02-23T15:58', '2184', '9589', '500', 'SA 208', 'E-195', '159', '23', '10'), 
('Air Canada', '2020-06-25T21:51', '2020-06-26T02:19', '268', '7275', '1000', 'AC 1642', 'A340', '108', '16', '21'), 
('Norwegian', '2020-11-13T11:09', '2020-11-13T20:17', '548', '3530', '200', 'NW 1895', 'CRJ900', '567', '21', '8'), 
('British Airways', '2020-05-11T03:25', '2020-05-11T07:10', '225', '2715', '1000', 'BA 1081', 'Boeing 787', '251', '10', '6'), 
('JetBlue Airways', '2020-06-27T19:18', '2020-06-28T12:55', '1057', '6588', '200', 'B6 550', 'Boeing 767', '449', '23', '2'), 
('JetBlue Airways', '2020-03-29T14:12', '2020-03-29T18:07', '235', '7456', '500', 'B6 555', 'Boeing 737', '519', '11', '23'), 
('Lufthansa', '2020-08-20T21:53', '2020-08-21T05:13', '440', '6788', '500', 'LH 1868', 'E-175', '290', '5', '7'), 
('Lufthansa', '2020-11-15T02:59', '2020-11-16T10:40', '1901', '2881', '500', 'LH 363', 'A310', '356', '14', '21'), 
('British Airways', '2020-01-27T09:02', '2020-01-28T15:13', '1811', '3661', '1000', 'BA 1615', 'SR-71 Blackbird', '182', '16', '17'), 
('American Airlines', '2020-04-13T21:52', '2020-04-14T04:45', '413', '5570', '300', 'AA 1824', 'Boeing 767', '474', '10', '3'), 
('British Airways', '2020-05-06T08:10', '2020-05-07T13:10', '1740', '4561', '300', 'BA 426', 'Boeing 767', '188', '0', '2'), 
('Finnair', '2020-05-22T22:39', '2020-05-22T24:28', '109', '7174', '500', 'FA 1256', 'Boeing 767', '319', '23', '10'), 
('British Airways', '2020-07-25T07:59', '2020-07-26T03:36', '1177', '9835', '300', 'BA 954', 'A320', '80', '10', '29'), 
('Norwegian', '2020-01-20T20:24', '2020-01-21T02:48', '384', '2602', '300', 'NW 479', 'Boeing 767', '297', '26', '2'), 
('Finnair', '2020-08-15T20:06', '2020-08-16T02:21', '375', '4111', '200', 'FA 913', 'A318', '434', '9', '27'), 
('Finnair', '2020-05-15T03:03', '2020-05-15T10:00', '417', '2898', '1000', 'FA 1226', 'E-190', '411', '11', '1'), 
('SAS', '2020-10-14T17:22', '2020-10-15T21:42', '1700', '3501', '500', 'SA 1950', 'CRJ1000', '522', '12', '22'), 
('Alaska Airlines', '2020-01-14T14:04', '2020-01-14T22:09', '485', '6806', '300', 'AS 1382', 'Boeing 787', '569', '16', '1'), 
('Lufthansa', '2020-03-08T00:41', '2020-03-09T01:55', '1514', '6772', '500', 'LH 1231', 'A318', '583', '11', '28'), 
('Delta Air Lines', '2020-10-16T17:30', '2020-10-16T21:16', '226', '5031', '500', 'DL 1908', 'A320', '318', '19', '14'), 
('Delta Air Lines', '2020-04-15T17:47', '2020-04-15T20:34', '167', '2963', '1000', 'DL 1737', 'Boeing 737', '167', '26', '27'), 
('Lufthansa', '2020-02-12T16:40', '2020-02-13T21:48', '1748', '5035', '300', 'LH 1898', 'Boeing 777', '379', '12', '4'), 
('American Airlines', '2020-11-06T21:40', '2020-11-06T23:18', '98', '9900', '500', 'AA 1047', 'A330', '254', '16', '10'), 
('WOW Air', '2020-09-28T03:01', '2020-09-29T08:15', '1754', '9050', '500', 'WA 196', 'Boeing 767', '366', '20', '6'), 
('Alaska Airlines', '2020-02-05T12:34', '2020-02-06T03:36', '902', '1767', '500', 'AS 1927', 'CRJ900', '306', '16', '18'), 
('Finnair', '2020-06-03T08:36', '2020-06-04T08:17', '1421', '527', '500', 'FA 340', 'A310', '496', '3', '18'), 
('Norwegian', '2020-11-16T17:58', '2020-11-17T20:53', '1615', '1756', '200', 'NW 458', 'A350', '365', '17', '7'), 
('Lufthansa', '2020-02-15T10:06', '2020-02-16T17:07', '1861', '2323', '200', 'LH 1176', 'A220', '468', '11', '16'), 
('WOW Air', '2020-02-03T16:18', '2020-02-04T04:36', '738', '2027', '300', 'WA 494', 'E-170', '81', '11', '18'), 
('Air Canada', '2020-09-24T15:01', '2020-09-25T08:11', '1030', '5563', '500', 'AC 295', 'Boeing 787', '300', '1', '0'), 
('Norwegian', '2020-11-21T16:27', '2020-11-21T21:20', '293', '3638', '300', 'NW 566', 'Boeing 737', '307', '28', '10'), 
('Air Canada', '2020-12-17T19:42', '2020-12-17T22:13', '151', '2433', '300', 'AC 476', 'CRJ705', '300', '4', '1'), 
('Finnair', '2020-08-22T04:55', '2020-08-22T10:15', '320', '8221', '500', 'FA 447', 'Millennium Falcon', '306', '13', '25'), 
('Alaska Airlines', '2020-03-05T02:18', '2020-03-05T08:35', '377', '1023', '500', 'AS 1630', 'A330', '66', '7', '1'), 
('Delta Air Lines', '2020-10-03T07:40', '2020-10-03T12:40', '300', '7399', '1000', 'DL 1686', 'A321', '242', '4', '6'), 
('WOW Air', '2020-04-29T14:31', '2020-04-30T09:36', '1145', '8102', '500', 'WA 689', 'Boeing 777', '395', '7', '14'), 
('Finnair', '2020-10-30T10:10', '2020-10-30T19:45', '575', '4648', '200', 'FA 545', 'Boeing 767', '205', '28', '16'), 
('WOW Air', '2020-06-13T19:01', '2020-06-13T21:04', '123', '3148', '500', 'WA 991', 'A350', '314', '19', '20'), 
('Finnair', '2020-07-28T05:39', '2020-07-29T18:00', '2181', '9893', '200', 'FA 733', 'CRJ705', '129', '25', '12'), 
('WOW Air', '2020-05-03T14:14', '2020-05-04T18:26', '1692', '9965', '1000', 'WA 721', 'E-175', '546', '23', '3'), 
('Frontier Airlines', '2020-03-06T01:22', '2020-03-07T07:16', '1794', '6477', '500', 'F9 1941', 'E-195', '133', '21', '8'), 
('JetBlue Airways', '2020-01-15T14:44', '2020-01-15T21:31', '407', '1141', '200', 'B6 1056', 'E-170', '200', '19', '21'), 
('Delta Air Lines', '2020-03-01T14:45', '2020-03-01T22:51', '486', '9294', '300', 'DL 426', 'SR-71 Blackbird', '596', '25', '4'), 
('Norwegian', '2020-12-05T15:33', '2020-12-06T09:40', '1087', '1715', '200', 'NW 1937', 'A320', '137', '16', '11'), 
('Delta Air Lines', '2020-01-12T01:01', '2020-01-13T03:48', '1607', '5214', '300', 'DL 406', 'A220', '86', '23', '15'), 
('Air Canada', '2020-12-12T09:39', '2020-12-13T22:55', '2236', '4778', '500', 'AC 731', 'CRJ900', '421', '4', '23'), 
('British Airways', '2020-04-10T16:27', '2020-04-10T22:11', '344', '1487', '500', 'BA 1514', 'CRJ705', '133', '6', '4'), 
('Alaska Airlines', '2020-12-04T07:13', '2020-12-05T23:02', '2389', '9939', '300', 'AS 1019', 'A300', '140', '15', '27'), 
('Air Canada', '2020-11-05T10:52', '2020-11-05T19:56', '544', '3935', '500', 'AC 1384', 'E-195', '227', '3', '12'), 
('Alaska Airlines', '2020-06-13T21:49', '2020-06-13T23:53', '124', '1127', '500', 'AS 1058', 'E-175', '407', '12', '20'), 
('British Airways', '2020-10-29T18:20', '2020-10-29T21:48', '208', '1238', '1000', 'BA 1695', 'CRJ900', '371', '26', '9'), 
('WOW Air', '2020-08-24T09:52', '2020-08-24T23:55', '843', '2127', '500', 'WA 1045', 'A380', '490', '12', '2'), 
('American Airlines', '2020-02-04T13:45', '2020-02-05T16:19', '1594', '7693', '500', 'AA 485', 'Boeing 767', '522', '22', '0'), 
('WOW Air', '2020-09-28T17:08', '2020-09-29T13:36', '1228', '2051', '200', 'WA 1752', 'A350', '340', '15', '22'), 
('WOW Air', '2020-06-12T05:29', '2020-06-12T19:43', '854', '3669', '300', 'WA 1065', 'A319', '440', '28', '21'), 
('Air Canada', '2020-07-22T09:37', '2020-07-23T05:09', '1172', '3548', '300', 'AC 993', 'Boeing 787', '225', '16', '11'), 
('Delta Air Lines', '2020-02-14T23:49', '2020-02-15T10:46', '657', '3522', '500', 'DL 945', 'CRJ705', '414', '3', '2'), 
('British Airways', '2020-09-13T07:29', '2020-09-14T07:01', '1412', '549', '500', 'BA 999', 'E-195', '359', '4', '28'), 
('Lufthansa', '2020-11-22T06:46', '2020-11-22T21:04', '858', '6237', '300', 'LH 1511', 'A320', '521', '5', '12'), 
('Air Canada', '2020-01-26T08:23', '2020-01-27T17:21', '1978', '7689', '500', 'AC 657', 'Boeing 767', '418', '10', '20'), 
('American Airlines', '2020-10-01T09:23', '2020-10-01T21:52', '749', '5929', '300', 'AA 1070', 'E-190', '318', '18', '3'), 
('Norwegian', '2020-10-12T03:20', '2020-10-12T08:34', '314', '4322', '300', 'NW 249', 'A340', '191', '17', '20'), 
('Alaska Airlines', '2020-04-02T22:06', '2020-04-02T23:05', '59', '2597', '300', 'AS 1070', 'CRJ705', '500', '29', '13'), 
('Delta Air Lines', '2020-04-10T08:26', '2020-04-11T03:46', '1160', '9351', '500', 'DL 1717', 'A320', '565', '3', '1'), 
('Alaska Airlines', '2020-04-15T14:36', '2020-04-16T13:23', '1367', '4426', '500', 'AS 478', 'A319', '559', '3', '9'), 
('Delta Air Lines', '2020-12-21T14:39', '2020-12-22T17:25', '1606', '3024', '300', 'DL 1581', 'Boeing 767', '243', '27', '17'), 
('Lufthansa', '2020-06-04T13:46', '2020-06-04T21:43', '477', '6026', '300', 'LH 1333', 'A220', '200', '11', '16'), 
('Lufthansa', '2020-07-05T17:05', '2020-07-05T20:22', '197', '4966', '500', 'LH 807', 'Boeing 767', '432', '15', '25'), 
('Air Canada', '2020-04-02T07:25', '2020-04-03T05:41', '1336', '9075', '300', 'AC 387', 'CRJ705', '522', '17', '20'), 
('Finnair', '2020-12-29T18:58', '2020-12-29T23:52', '294', '6531', '500', 'FA 511', 'A380', '323', '10', '15'), 
('Frontier Airlines', '2020-03-12T07:44', '2020-03-13T05:26', '1302', '3954', '300', 'F9 277', 'A300', '394', '21', '28'), 
('Delta Air Lines', '2020-03-19T17:44', '2020-03-20T06:09', '745', '1913', '500', 'DL 748', 'Boeing 747', '500', '26', '28'), 
('Lufthansa', '2020-04-05T12:27', '2020-04-05T18:08', '341', '9801', '200', 'LH 117', 'A310', '571', '16', '0'), 
('SAS', '2020-03-24T23:14', '2020-03-25T02:59', '225', '7958', '500', 'SA 1607', 'E-195', '542', '5', '14'), 
('Delta Air Lines', '2020-08-10T03:07', '2020-08-11T10:28', '1881', '9242', '300', 'DL 1425', 'Boeing 747', '375', '21', '15'), 
('Norwegian', '2020-10-24T14:29', '2020-10-24T21:48', '439', '6732', '1000', 'NW 1632', 'Boeing 747', '116', '15', '26'), 
('SAS', '2020-08-10T16:31', '2020-08-10T23:21', '410', '5331', '300', 'SA 170', 'A319', '317', '5', '16'), 
('Air Canada', '2020-05-29T17:24', '2020-05-29T20:16', '172', '5022', '500', 'AC 1805', 'CRJ700', '451', '27', '7'), 
('Lufthansa', '2020-03-12T09:31', '2020-03-13T03:37', '1086', '3753', '300', 'LH 873', 'A380', '128', '12', '8'), 
('JetBlue Airways', '2020-03-16T09:57', '2020-03-16T19:14', '557', '1795', '200', 'B6 198', 'A321', '422', '12', '0'), 
('Lufthansa', '2020-05-12T13:59', '2020-05-12T22:03', '484', '5557', '300', 'LH 395', 'A319', '167', '3', '22'), 
('British Airways', '2020-06-23T08:24', '2020-06-24T11:31', '1627', '3050', '300', 'BA 364', 'A330', '210', '10', '24'), 
('Delta Air Lines', '2020-07-25T01:22', '2020-07-25T08:42', '440', '9996', '300', 'DL 1027', 'Boeing 787', '311', '3', '0'), 
('Delta Air Lines', '2020-04-26T01:16', '2020-04-26T22:39', '1283', '5450', '500', 'DL 1462', 'E-175', '359', '22', '23'), 
('JetBlue Airways', '2020-06-18T17:11', '2020-06-18T23:03', '352', '9592', '300', 'B6 1840', 'A320', '484', '8', '10'), 
('JetBlue Airways', '2020-02-29T01:49', '2020-02-29T18:19', '990', '4125', '500', 'B6 1718', 'E-190', '310', '12', '20'), 
('British Airways', '2020-05-08T06:14', '2020-05-09T06:07', '1433', '5431', '1000', 'BA 344', 'A380', '265', '10', '18'), 
('Lufthansa', '2020-09-18T17:30', '2020-09-19T17:43', '1453', '4899', '1000', 'LH 337', 'A330', '451', '9', '27'), 
('Lufthansa', '2020-05-17T05:29', '2020-05-17T20:11', '882', '6926', '300', 'LH 409', 'Boeing 787', '104', '26', '24'), 
('Norwegian', '2020-08-07T02:28', '2020-08-07T16:15', '827', '9386', '200', 'NW 1926', 'E-195', '471', '4', '14'), 
('Lufthansa', '2020-02-26T14:22', '2020-02-27T12:19', '1317', '2454', '500', 'LH 290', 'A318', '402', '6', '3'), 
('Finnair', '2020-06-04T22:28', '2020-06-05T09:21', '653', '7075', '200', 'FA 1206', 'Boeing 747', '126', '22', '19'), 
